STT,Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4
1441,SSH,Phát triển Sunshine Homes,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
1442,SSN,Thủy sản Sài Gòn,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
1443,SST,TM Sabeco Sông Tiền,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
1444,STD,Bia - NGK Sài Gòn - Tây Đô,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
1445,STH,Phát hành sách Thái Nguyên,UPCoM,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
1446,STL,Sông Đà - Thăng Long,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
1447,STS,Dịch vụ vận tải Sài Gòn,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
1448,STT,Vận chuyển Sài Gòn Tourist,UPCoM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
1449,STW,Cấp nước Sóc Trăng,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
1450,SVG,Hơi kỹ nghệ Que hàn,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Công nghiệp phức hợp
1451,SVH,Thủy điện Sông Vàng,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
1452,SWC,Đường Sông Miền Nam,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
1453,SZE,Môi trường Sonadezi,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
1454,SZG,Sonadezi Giang Điền,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
1455,TA6,Đầu tư và Xây lắp Thành An 665,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1456,TAB,Freco Việt Nam,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
1457,TAL,Đầu Tư Bất Động Sản Taseco,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
1458,TAN,Cà phê Thuận An,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
1459,TAR,Nông nghiệp CN cao Trung An,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
1460,TAW,Cấp nước Trung An,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
1461,TB8,SX và KD Vật tư Thiết bị - VVMI,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
1462,TBD,Thiết bị điện Đông Anh,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
1463,TBH,Tổng Bách Hóa,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
1464,TBR,Địa ốc Tân Bình,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
1465,TBT,XD Công trình GT Bến Tre,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1466,TBW,Nước sạch Thái Bình,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
1467,TCJ,Tô Châu,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
1468,TCK,COMA,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
